"id";"value";"revised_at";"product_sku_id";"product_id";"price_type_id"
12958;1446889;"2020-08-20 03";2771;605;1
12959;877669;"2020-08-20 03";2774;603;1
12960;358396;"2020-08-20 03";3141;2507;1
12961;199990;"2020-08-20 03";2940;3046;1
12962;396235;"2020-08-20 10";3988;4084;2
12963;1117190;"2020-08-20 03";3994;4089;2
12964;1210290;"2020-08-20 08";3969;4064;2
12966;849990;"2020-08-20 07";2680;1250;1
12967;1356800;"2020-08-20 07";2685;1233;1
12968;1799990;"2020-08-20 04";2686;2806;1
12969;201389;"2020-08-20 07";2689;1222;1
12970;688989;"2020-08-20 07";2738;1228;1
12971;299650;"2020-08-20 04";2741;1220;1
12972;310000;"2020-08-20 04";2741;1220;1
12973;127200;"2020-08-20 07";2742;1224;1
12974;339201;"2020-08-20 07";2746;1221;1
12975;74200;"2020-08-20 04";2749;2862;1
12976;42400;"2020-08-20 04";2750;2863;1
12977;109900;"2020-08-20 04";2938;2509;1
12978;129900;"2020-08-20 04";2939;2508;1
12979;211989;"2020-08-20 04";2940;3046;1
12980;219990;"2020-08-20 04";2940;3046;1
12981;26900;"2020-08-20 04";2966;3071;1
12982;77900;"2020-08-20 04";2968;3073;1
12983;116589;"2020-08-20 04";2969;2202;1
12984;32900;"2020-08-20 04";2971;3075;1
12985;37900;"2020-08-20 04";2972;3076;1
12986;29990;"2020-08-20 04";2981;3085;1
12987;1044990;"2020-08-25 21";1586;1714;2
12988;1253990;"2020-08-20 04";4046;4147;2
12989;1757490;"2020-08-25 21";4047;4148;2
12990;835990;"2020-08-25 21";4053;4154;2
12991;1757490;"2020-08-25 21";1597;1725;2
12992;1168490;"2020-08-25 21";1598;1726;2
12993;2004490;"2020-08-25 21";1602;1730;2
12994;978490;"2020-08-25 21";1625;1753;2
12995;626990;"2020-08-25 21";1627;1755;2
12996;1500990;"2020-08-25 15";2628;2756;2
12997;3058990;"2020-08-25 18";2631;2759;2
12998;503490;"2020-08-20 04";1640;1768;2
12999;1168490;"2020-08-20 04";2637;2765;2
13000;1757490;"2020-08-25 18";2639;2767;2
13001;921490;"2020-08-25 21";1642;1770;2
13002;74200;"2020-08-20 19";2749;3007;1
13003;42400;"2020-08-20 19";2750;3009;1
13004;42400;"2020-08-20 04";2867;3010;1
13005;529988;"2020-08-20 04";4091;4193;1
13007;437560;"2020-08-20 04";2151;2283;2
13008;117316;"2020-08-20 11";2159;2291;2
13009;1059989;"2020-08-20 04";2762;604;1
13010;877669;"2020-08-20 04";2763;601;1
13011;779089;"2020-08-20 04";2765;600;1
13012;365689;"2020-08-20 04";2767;597;1
13013;390069;"2020-08-20 04";2768;2537;1
13014;1446889;"2020-08-20 04";2771;605;1
13015;877669;"2020-08-20 04";2774;603;1
13016;180900;"2020-08-30 22";2657;2785;1
13017;649990;"2020-08-30 21";4891;5000;1
13018;835990;"2020-08-25 20";4231;4334;2
13019;712490;"2020-08-25 20";4122;4225;2
13020;1842990;"2020-08-25 20";4123;4226;2
13021;835990;"2020-08-25 20";4127;4230;2
13022;1799990;"2020-08-21 14";2686;2806;1
13023;299650;"2020-08-20 05";2741;1220;1
13024;310000;"2020-08-20 05";2741;1220;1
13025;74200;"2020-08-20 13";2749;2862;1
13026;42400;"2020-08-20 13";2750;2863;1
13027;999990;"2020-08-20 05";2762;604;1
13028;827990;"2020-08-20 05";2763;601;1
13029;734990;"2020-08-20 05";2765;600;1
13030;344990;"2020-08-20 05";2767;597;1
13031;367990;"2020-08-20 05";2768;2537;1
13032;1364990;"2020-08-20 05";2771;605;1
13033;827990;"2020-08-20 05";2774;603;1
13034;1253990;"2020-08-25 21";1630;1758;2
13035;503490;"2020-08-25 18";1640;1768;2
13036;1168490;"2020-08-25 18";2637;2765;2
13037;1253990;"2020-08-25 21";4046;4147;2
13038;1117190;"2020-08-20 08";3994;4089;2
13039;1168490;"2020-08-25 20";4115;4218;2
